COVID,NC,Normal
118.0,2.0,53.0
8.0,1.0,57.0
10.0,179.0,34.0
27.0,30.0,56.0
0.0,81.0,226.0
6.0,3.0,162.0
12.0,32.0,253.0
6.0,33.0,239.0
49.0,48.0,0.0
115.0,50.0,229.0
99.0,212.0,67.0
16.0,51.0,235.0
9.0,65.0,0.0
91.0,0.0,127.0
0.0,41.0,216.0
11.0,77.0,81.0
20.0,37.0,3.0
15.0,54.0,8.0
12.0,64.0,13.0
127.0,14.0,235.0
51.0,17.0,237.0
227.0,60.0,18.0
28.0,27.0,13.0
7.0,0.0,4.0
206.0,23.0,242.0
84.0,25.0,67.0
1.0,0.0,110.0
4.0,2.0,138.0
244.0,93.0,2.0
0.0,0.0,241.0
81.0,29.0,117.0
0.0,64.0,11.0
121.0,61.0,217.0
27.0,7.0,20.0
18.0,54.0,0.0
182.0,38.0,16.0
143.0,188.0,139.0
63.0,0.0,4.0
0.0,0.0,12.0
162.0,149.0,0.0
88.0,0.0,0.0
0.0,61.0,130.0
17.0,77.0,211.0
136.0,1.0,7.0
177.0,31.0,0.0
87.0,54.0,0.0
228.0,91.0,8.0
79.0,217.0,161.0
4.0,79.0,94.0
3.0,34.0,0.0
32.0,16.0,10.0
0.0,144.0,203.0
0.0,64.0,209.0
30.0,6.0,47.0
52.0,81.0,0.0
18.0,18.0,1.0
46.0,55.0,79.0
30.0,51.0,32.0
10.0,11.0,46.0
11.0,25.0,0.0
23.0,0.0,69.0
111.0,0.0,224.0
8.0,172.0,96.0
20.0,0.0,0.0
51.0,46.0,1.0
73.0,37.0,169.0
18.0,24.0,0.0
16.0,54.0,5.0
0.0,44.0,0.0
53.0,81.0,2.0
95.0,0.0,14.0
24.0,72.0,0.0
70.0,87.0,213.0
85.0,39.0,7.0
11.0,0.0,218.0
201.0,38.0,1.0
38.0,0.0,5.0
226.0,185.0,250.0
12.0,0.0,0.0
46.0,15.0,91.0
12.0,58.0,17.0
11.0,98.0,254.0
4.0,0.0,1.0
61.0,0.0,242.0
12.0,24.0,1.0
225.0,55.0,94.0
30.0,1.0,97.0
37.0,63.0,93.0
0.0,193.0,18.0
0.0,0.0,221.0
97.0,22.0,14.0
0.0,119.0,69.0
76.0,77.0,34.0
0.0,35.0,171.0
159.0,77.0,69.0
26.0,87.0,7.0
1.0,36.0,0.0
192.0,111.0,6.0
0.0,42.0,247.0
21.0,112.0,130.0
78.0,129.0,68.0
48.0,50.0,202.0
190.0,32.0,138.0
0.0,2.0,3.0
12.0,55.0,202.0
179.0,0.0,12.0
15.0,83.0,0.0
228.0,9.0,18.0
144.0,1.0,11.0
12.0,0.0,0.0
160.0,31.0,53.0
27.0,124.0,249.0
23.0,20.0,31.0
1.0,165.0,226.0
11.0,25.0,68.0
39.0,21.0,22.0
14.0,57.0,7.0
7.0,205.0,1.0
24.0,24.0,0.0
12.0,16.0,91.0
244.0,5.0,34.0
6.0,16.0,74.0
67.0,45.0,247.0
7.0,30.0,104.0
32.0,171.0,3.0
238.0,65.0,9.0
0.0,21.0,234.0
199.0,62.0,16.0
0.0,55.0,33.0
30.0,21.0,66.0
12.0,23.0,5.0
137.0,1.0,16.0
102.0,72.0,0.0
8.0,116.0,81.0
104.0,44.0,35.0
38.0,208.0,7.0
72.0,22.0,165.0
9.0,138.0,179.0
53.0,154.0,245.0
103.0,8.0,0.0
45.0,72.0,242.0
22.0,0.0,0.0
11.0,2.0,29.0
18.0,0.0,53.0
72.0,34.0,101.0
113.0,38.0,21.0
171.0,63.0,189.0
0.0,112.0,8.0
0.0,13.0,160.0
32.0,94.0,18.0
0.0,41.0,40.0
5.0,38.0,1.0
82.0,39.0,0.0
225.0,42.0,79.0
236.0,51.0,1.0
164.0,42.0,8.0
7.0,28.0,0.0
0.0,118.0,6.0
194.0,73.0,205.0
0.0,0.0,155.0
187.0,61.0,4.0
89.0,63.0,245.0
0.0,73.0,242.0
77.0,57.0,199.0
78.0,45.0,251.0
0.0,34.0,124.0
23.0,0.0,3.0
83.0,77.0,102.0
8.0,0.0,5.0
101.0,20.0,103.0
35.0,0.0,55.0
113.0,45.0,0.0
23.0,15.0,121.0
42.0,2.0,51.0
7.0,25.0,2.0
16.0,0.0,125.0
229.0,124.0,60.0
77.0,24.0,10.0
9.0,52.0,13.0
20.0,54.0,255.0
12.0,1.0,76.0
224.0,87.0,202.0
0.0,1.0,233.0
30.0,53.0,5.0
15.0,42.0,245.0
25.0,44.0,1.0
180.0,40.0,43.0
255.0,13.0,184.0
23.0,75.0,0.0
31.0,32.0,0.0
30.0,144.0,236.0
12.0,35.0,60.0
1.0,120.0,0.0
104.0,0.0,189.0
134.0,58.0,152.0
8.0,2.0,65.0
33.0,37.0,29.0
1.0,198.0,0.0
39.0,20.0,4.0
30.0,42.0,2.0
45.0,219.0,41.0
21.0,150.0,189.0
56.0,37.0,3.0
11.0,34.0,244.0
25.0,38.0,86.0
51.0,52.0,2.0
0.0,16.0,73.0
180.0,16.0,218.0
84.0,174.0,1.0
0.0,151.0,236.0
9.0,0.0,0.0
57.0,97.0,22.0
25.0,112.0,17.0
160.0,237.0,25.0
176.0,12.0,218.0
22.0,83.0,20.0
54.0,0.0,0.0
32.0,19.0,221.0
17.0,255.0,84.0
100.0,21.0,199.0
0.0,100.0,26.0
112.0,46.0,2.0
33.0,58.0,0.0
132.0,99.0,2.0
11.0,44.0,55.0
254.0,0.0,249.0
0.0,10.0,5.0
16.0,15.0,73.0
194.0,16.0,217.0
12.0,1.0,192.0
4.0,86.0,213.0
149.0,67.0,78.0
32.0,63.0,232.0
226.0,73.0,135.0
50.0,13.0,110.0
42.0,31.0,1.0
185.0,19.0,41.0
80.0,101.0,255.0
87.0,3.0,224.0
36.0,11.0,1.0
0.0,0.0,203.0
19.0,17.0,197.0
9.0,2.0,31.0
0.0,17.0,0.0
35.0,44.0,25.0
10.0,11.0,164.0
68.0,53.0,85.0
0.0,36.0,231.0
1.0,49.0,1.0
230.0,4.0,194.0
9.0,173.0,0.0
3.0,19.0,225.0
78.0,34.0,2.0
140.0,49.0,3.0
87.0,59.0,215.0
26.0,0.0,4.0
132.0,40.0,0.0
1.0,24.0,97.0
12.0,60.0,1.0
229.0,187.0,71.0
106.0,254.0,51.0
82.0,48.0,195.0
94.0,136.0,2.0
12.0,213.0,76.0
3.0,0.0,0.0
51.0,63.0,1.0
109.0,26.0,0.0
222.0,111.0,85.0
5.0,0.0,10.0
11.0,43.0,23.0
10.0,0.0,65.0
161.0,9.0,152.0
79.0,48.0,220.0
24.0,46.0,0.0
128.0,0.0,201.0
35.0,8.0,8.0
10.0,51.0,1.0
20.0,30.0,0.0
8.0,10.0,0.0
131.0,26.0,80.0
75.0,88.0,135.0
0.0,29.0,5.0
0.0,7.0,196.0
25.0,0.0,243.0
99.0,84.0,6.0
162.0,0.0,83.0
74.0,21.0,0.0
197.0,2.0,1.0
9.0,0.0,72.0
86.0,5.0,237.0
8.0,0.0,5.0
2.0,9.0,29.0
25.0,88.0,172.0
20.0,1.0,0.0
13.0,82.0,204.0
3.0,137.0,0.0
7.0,32.0,17.0
0.0,18.0,73.0
3.0,38.0,224.0
11.0,0.0,213.0
9.0,2.0,179.0
17.0,16.0,12.0
23.0,32.0,0.0
13.0,5.0,13.0
0.0,4.0,40.0
25.0,22.0,44.0
24.0,6.0,0.0
42.0,33.0,18.0
29.0,23.0,44.0
0.0,0.0,0.0
0.0,47.0,21.0
42.0,17.0,5.0
8.0,30.0,53.0
31.0,21.0,150.0
32.0,25.0,4.0
26.0,216.0,14.0
20.0,0.0,56.0
83.0,45.0,4.0
98.0,91.0,0.0
64.0,0.0,215.0
31.0,34.0,73.0
13.0,58.0,8.0
12.0,29.0,6.0
35.0,0.0,32.0
143.0,151.0,13.0
8.0,51.0,6.0
0.0,52.0,202.0
20.0,8.0,0.0
12.0,59.0,148.0
68.0,7.0,234.0
3.0,10.0,1.0
40.0,10.0,0.0
13.0,0.0,163.0
119.0,36.0,51.0
21.0,21.0,29.0
0.0,9.0,196.0
51.0,54.0,255.0
199.0,0.0,0.0
24.0,114.0,60.0
47.0,54.0,202.0
41.0,1.0,6.0
52.0,83.0,254.0
12.0,30.0,35.0
193.0,24.0,0.0
1.0,21.0,25.0
64.0,5.0,203.0
185.0,12.0,53.0
155.0,57.0,0.0
45.0,0.0,212.0
4.0,216.0,0.0
46.0,17.0,37.0
82.0,113.0,4.0
12.0,93.0,24.0
184.0,0.0,0.0
9.0,48.0,27.0
149.0,138.0,255.0
18.0,11.0,253.0
3.0,0.0,9.0
8.0,74.0,3.0
0.0,6.0,152.0
81.0,80.0,0.0
0.0,26.0,1.0
9.0,36.0,57.0
116.0,8.0,172.0
49.0,95.0,198.0
10.0,61.0,33.0
32.0,0.0,0.0
224.0,45.0,6.0
38.0,0.0,0.0
22.0,0.0,194.0
1.0,4.0,39.0
0.0,53.0,9.0
41.0,31.0,205.0
13.0,182.0,0.0
40.0,106.0,235.0
52.0,0.0,49.0
68.0,37.0,255.0
0.0,26.0,89.0
134.0,35.0,17.0
30.0,73.0,25.0
81.0,104.0,118.0
62.0,0.0,193.0
16.0,102.0,13.0
0.0,56.0,219.0
225.0,33.0,11.0
7.0,0.0,3.0
169.0,26.0,196.0
255.0,6.0,76.0
11.0,37.0,1.0
6.0,35.0,8.0
0.0,62.0,1.0
0.0,153.0,158.0
0.0,193.0,1.0
239.0,4.0,206.0
147.0,43.0,10.0
60.0,109.0,0.0
98.0,48.0,109.0
32.0,48.0,48.0
10.0,102.0,206.0
142.0,22.0,5.0
16.0,23.0,1.0
12.0,16.0,2.0
0.0,38.0,237.0
9.0,76.0,8.0
12.0,82.0,28.0
22.0,43.0,0.0
77.0,36.0,3.0
34.0,0.0,2.0
39.0,24.0,1.0
42.0,0.0,52.0
0.0,61.0,29.0
177.0,47.0,0.0
9.0,45.0,7.0
172.0,55.0,168.0
9.0,0.0,214.0
180.0,1.0,1.0
0.0,126.0,244.0
72.0,7.0,2.0
122.0,56.0,24.0
61.0,25.0,3.0
16.0,0.0,63.0
0.0,61.0,223.0
23.0,84.0,9.0
26.0,0.0,21.0
30.0,25.0,2.0
67.0,6.0,6.0
8.0,36.0,179.0
25.0,122.0,46.0
56.0,22.0,40.0
47.0,38.0,0.0
142.0,0.0,10.0
30.0,29.0,0.0
51.0,8.0,244.0
2.0,4.0,0.0
176.0,50.0,1.0
0.0,0.0,13.0
214.0,47.0,21.0
231.0,8.0,41.0
24.0,26.0,13.0
0.0,1.0,179.0
34.0,36.0,43.0
48.0,19.0,0.0
33.0,69.0,238.0
12.0,51.0,166.0
0.0,0.0,74.0
0.0,14.0,0.0
14.0,3.0,15.0
0.0,10.0,0.0
18.0,13.0,0.0
73.0,62.0,0.0
143.0,7.0,1.0
10.0,49.0,22.0
34.0,67.0,1.0
160.0,61.0,0.0
2.0,10.0,0.0
115.0,45.0,0.0
110.0,0.0,4.0
32.0,200.0,168.0
10.0,0.0,168.0
1.0,8.0,47.0
69.0,14.0,52.0
0.0,85.0,0.0
30.0,118.0,201.0
1.0,0.0,189.0
11.0,19.0,227.0
19.0,137.0,1.0
1.0,49.0,34.0
24.0,134.0,0.0
176.0,0.0,34.0
244.0,48.0,142.0
114.0,1.0,0.0
68.0,93.0,212.0
6.0,12.0,239.0
4.0,6.0,194.0
12.0,39.0,0.0
163.0,57.0,27.0
47.0,0.0,17.0
6.0,9.0,6.0
0.0,0.0,9.0
160.0,22.0,32.0
156.0,54.0,22.0
17.0,4.0,205.0
128.0,19.0,0.0
0.0,1.0,0.0
30.0,1.0,3.0
53.0,7.0,1.0
0.0,17.0,20.0
0.0,4.0,30.0
68.0,109.0,63.0
153.0,30.0,7.0
35.0,67.0,4.0
51.0,0.0,4.0
50.0,1.0,13.0
0.0,85.0,218.0
0.0,71.0,4.0
9.0,25.0,11.0
21.0,28.0,9.0
77.0,54.0,253.0
27.0,2.0,18.0
19.0,63.0,115.0
1.0,37.0,50.0
12.0,1.0,0.0
191.0,52.0,0.0
21.0,191.0,0.0
30.0,44.0,8.0
1.0,53.0,63.0
0.0,173.0,0.0
64.0,53.0,1.0
55.0,31.0,27.0
85.0,45.0,139.0
