contrast,group
0.9920318725099602,Non-COVID
0.9919354838709677,Non-COVID
0.9922178988326849,Non-COVID
0.9844357976653697,Non-COVID
0.9922178988326849,Non-COVID
0.9919354838709677,Non-COVID
0.9913793103448276,Non-COVID
0.966804979253112,Non-COVID
0.9915966386554622,Non-COVID
0.9911111111111112,Non-COVID
0.9917355371900827,Non-COVID
0.9922178988326849,Non-COVID
0.9916317991631799,Non-COVID
0.9916317991631799,Non-COVID
0.9601593625498008,Non-COVID
0.991869918699187,Non-COVID
0.9921875,Non-COVID
0.9920318725099602,Non-COVID
0.936,Non-COVID
0.9909502262443439,Non-COVID
0.9920318725099602,Non-COVID
0.9497907949790795,Non-COVID
0.9917355371900827,Non-COVID
0.991701244813278,Non-COVID
0.992,Non-COVID
0.9922178988326849,Non-COVID
0.9922178988326849,Non-COVID
0.9921259842519685,Non-COVID
0.992,Non-COVID
0.9922178988326849,Non-COVID
0.9921568627450981,Non-COVID
0.9920948616600791,Non-COVID
0.9919678714859438,Non-COVID
0.9839357429718876,Non-COVID
0.9746835443037974,Non-COVID
0.991701244813278,Non-COVID
0.991304347826087,Non-COVID
0.990990990990991,Non-COVID
0.9908675799086758,Non-COVID
0.7866666666666666,Non-COVID
0.9922178988326849,Non-COVID
0.9919354838709677,Non-COVID
0.9920634920634921,Non-COVID
0.991304347826087,Non-COVID
0.9844961240310077,Non-COVID
0.9917355371900827,Non-COVID
0.6341463414634146,Non-COVID
0.9921875,Non-COVID
0.9896907216494846,Non-COVID
0.9844961240310077,Non-COVID
0.9921875,Non-COVID
0.9922178988326849,Non-COVID
0.9922178988326849,Non-COVID
0.9903381642512077,Non-COVID
0.9919678714859438,Non-COVID
0.983739837398374,Non-COVID
0.9896907216494846,Non-COVID
0.9245283018867925,Non-COVID
0.9913419913419913,Non-COVID
0.9844357976653697,Non-COVID
0.989247311827957,Non-COVID
0.9922178988326849,Non-COVID
0.9919678714859438,Non-COVID
0.99,Non-COVID
0.9920948616600791,Non-COVID
0.9919354838709677,Non-COVID
0.9920948616600791,Non-COVID
0.9922178988326849,Non-COVID
0.9906976744186047,Non-COVID
0.9922178988326849,Non-COVID
0.9920318725099602,Non-COVID
0.9917695473251029,Non-COVID
0.9922178988326849,Non-COVID
0.9829059829059829,Non-COVID
0.9922178988326849,Non-COVID
0.9918032786885246,Non-COVID
0.991869918699187,Non-COVID
0.8495575221238938,Non-COVID
0.9922178988326849,Non-COVID
0.9907834101382489,Non-COVID
0.9922178988326849,Non-COVID
0.9074074074074074,Non-COVID
0.9922178988326849,Non-COVID
0.9922178988326849,Non-COVID
0.9922178988326849,Non-COVID
0.9895287958115183,Non-COVID
0.9921568627450981,Non-COVID
0.9920634920634921,Non-COVID
0.9828326180257511,Non-COVID
0.9921875,Non-COVID
0.9919678714859438,Non-COVID
0.9922178988326849,Non-COVID
0.9519230769230769,Non-COVID
0.9761904761904762,Non-COVID
0.9922178988326849,Non-COVID
0.9737991266375546,Non-COVID
0.991869918699187,Non-COVID
0.9844961240310077,Non-COVID
0.9176029962546817,Non-COVID
0.9917695473251029,Non-COVID
0.9918032786885246,Non-COVID
0.9922178988326849,Non-COVID
0.9922178988326849,Non-COVID
0.9922178988326849,Non-COVID
0.9690721649484536,Non-COVID
0.9922178988326849,Non-COVID
0.9597989949748744,Non-COVID
0.991701244813278,Non-COVID
0.992,Non-COVID
0.9912663755458515,Non-COVID
0.9844961240310077,Non-COVID
0.9920318725099602,Non-COVID
0.9920634920634921,Non-COVID
0.9922178988326849,Non-COVID
0.9914163090128756,Non-COVID
0.9760956175298805,Non-COVID
0.9896373056994818,Non-COVID
0.9918367346938776,Non-COVID
0.9914529914529915,Non-COVID
0.9836734693877551,Non-COVID
0.9920948616600791,Non-COVID
0.9922178988326849,Non-COVID
0.9196787148594378,Non-COVID
0.9910313901345291,Non-COVID
0.9916666666666667,Non-COVID
0.9760956175298805,Non-COVID
0.9836065573770492,Non-COVID
0.9899497487437185,Non-COVID
0.9844961240310077,Non-COVID
0.9917355371900827,Non-COVID
0.9919678714859438,Non-COVID
0.9919354838709677,Non-COVID
0.9920948616600791,Non-COVID
0.9901960784313726,Non-COVID
0.9920634920634921,Non-COVID
0.9920634920634921,Non-COVID
0.9903846153846154,Non-COVID
0.9918032786885246,Non-COVID
0.963302752293578,Non-COVID
0.9916317991631799,Non-COVID
0.7442922374429224,Non-COVID
0.9910714285714286,Non-COVID
0.9922178988326849,Non-COVID
0.9922178988326849,Non-COVID
0.9768339768339769,Non-COVID
0.9915966386554622,Non-COVID
0.9768339768339769,Non-COVID
0.9714285714285714,Non-COVID
0.9920948616600791,Non-COVID
0.7264150943396226,Non-COVID
0.9921875,Non-COVID
0.9918367346938776,Non-COVID
0.9918032786885246,Non-COVID
0.9844961240310077,Non-COVID
0.9911111111111112,Non-COVID
0.9921875,Non-COVID
0.991304347826087,Non-COVID
0.9922178988326849,Non-COVID
0.9918367346938776,Non-COVID
0.9911504424778761,Non-COVID
0.991304347826087,Non-COVID
0.9920948616600791,Non-COVID
0.9897959183673469,Non-COVID
0.9922178988326849,Non-COVID
0.9898477157360406,Non-COVID
0.9922178988326849,Non-COVID
0.9915611814345991,Non-COVID
0.9921568627450981,Non-COVID
0.9904761904761905,Non-COVID
0.9898477157360406,Non-COVID
0.98989898989899,Non-COVID
0.9768339768339769,Non-COVID
0.9583333333333334,Non-COVID
0.9838056680161943,Non-COVID
0.9755102040816327,Non-COVID
0.9913419913419913,Non-COVID
0.9920634920634921,Non-COVID
0.8823529411764706,Non-COVID
0.7777777777777778,Non-COVID
0.9922178988326849,Non-COVID
0.9922178988326849,Non-COVID
0.9918032786885246,Non-COVID
0.9922178988326849,Non-COVID
0.9801980198019802,Non-COVID
0.9922178988326849,Non-COVID
0.9836734693877551,Non-COVID
0.9914163090128756,Non-COVID
0.984375,Non-COVID
0.9922178988326849,Non-COVID
0.990990990990991,Non-COVID
0.9900990099009901,Non-COVID
0.9913419913419913,Non-COVID
0.9921875,Non-COVID
0.9922178988326849,Non-COVID
0.9401709401709402,Non-COVID
0.9916666666666667,Non-COVID
0.9922178988326849,Non-COVID
0.9915611814345991,Non-COVID
0.9922178988326849,Non-COVID
0.8091286307053942,Non-COVID
0.9736842105263158,Non-COVID
0.8942731277533039,Non-COVID
0.9922178988326849,Non-COVID
0.9921875,Non-COVID
0.9433962264150944,Non-COVID
0.9916317991631799,Non-COVID
0.9841897233201581,Non-COVID
0.9689922480620154,Non-COVID
0.9901477832512315,Non-COVID
0.9906976744186047,Non-COVID
0.9922178988326849,Non-COVID
0.9922178988326849,Non-COVID
0.9902439024390244,Non-COVID
0.9920318725099602,Non-COVID
0.9393939393939394,Non-COVID
0.9918367346938776,Non-COVID
0.9922178988326849,Non-COVID
0.984375,Non-COVID
0.9922178988326849,Non-COVID
0.990909090909091,Non-COVID
0.6263736263736264,Non-COVID
0.9912663755458515,Non-COVID
0.8686131386861314,Non-COVID
0.9902912621359223,Non-COVID
0.9830508474576272,Non-COVID
0.9922178988326849,Non-COVID
0.9922178988326849,Non-COVID
0.9922178988326849,Non-COVID
0.975,Non-COVID
0.9919354838709677,Non-COVID
0.954954954954955,Non-COVID
0.9382239382239382,Non-COVID
0.9914163090128756,Non-COVID
0.9917695473251029,Non-COVID
0.9828326180257511,Non-COVID
0.9393939393939394,Non-COVID
0.9922178988326849,Non-COVID
0.9801980198019802,Non-COVID
0.9922178988326849,Non-COVID
0.9922178988326849,Non-COVID
0.9922178988326849,Non-COVID
0.9922178988326849,Non-COVID
0.9922178988326849,Non-COVID
0.9902912621359223,Non-COVID
0.9913793103448276,Non-COVID
0.990909090909091,Non-COVID
0.9922178988326849,Non-COVID
0.95260663507109,Non-COVID
0.9762845849802372,Non-COVID
0.9922178988326849,Non-COVID
