std,mean,min,max,median,group
66.29445650641402,132.6442413330078,0,-7,-7,Non-COVID
53.7962391501628,171.81101989746094,0,-10,-10,Non-COVID
69.29335863976232,93.13485717773438,0,-1,-1,Non-COVID
55.74872505660151,160.18443298339844,1,-2,-2,Non-COVID
55.37929715105841,133.62200927734375,0,-1,-1,Non-COVID
53.93579509069492,109.31640625,0,-10,-10,Non-COVID
58.04377956377105,107.40428161621094,0,-26,-26,Non-COVID
49.83193817280054,116.12759399414062,3,-20,-20,Non-COVID
59.27138989544848,130.76779174804688,0,-20,-20,Non-COVID
56.13412662628984,133.53521728515625,0,-33,-33,Non-COVID
44.75404295721898,141.23699951171875,0,-16,-16,Non-COVID
49.00098793511764,141.31942749023438,0,-1,-1,Non-COVID
53.903157681781025,128.9952850341797,0,-19,-19,Non-COVID
66.2146752107552,53.356170654296875,0,-19,-19,Non-COVID
47.39390973181193,134.42306518554688,4,-11,-11,Non-COVID
53.89084636974437,124.53753662109375,0,-12,-12,Non-COVID
41.77948864327717,142.2902374267578,0,-2,-2,Non-COVID
45.0101190453175,136.5473175048828,0,-7,-7,Non-COVID
45.96407584377937,127.42594909667969,7,-15,-15,Non-COVID
52.115272675999606,85.12135314941406,0,-37,-37,Non-COVID
49.727722339596156,127.73870849609375,0,-7,-7,Non-COVID
44.02581788590156,146.62933349609375,5,-24,-24,Non-COVID
54.281106357366475,92.40544128417969,0,-16,-16,Non-COVID
45.88322613423481,103.71453857421875,0,-17,-17,Non-COVID
47.32733903311887,107.54904174804688,0,-8,-8,Non-COVID
61.168244055281164,119.30006408691406,0,-1,-1,Non-COVID
65.22604240625797,114.79461669921875,0,-1,-1,Non-COVID
68.34427772657894,111.03091430664062,0,-4,-4,Non-COVID
46.65892363644859,113.34934997558594,0,-8,-8,Non-COVID
69.77361926308302,115.6907958984375,0,-1,-1,Non-COVID
50.30309958659323,124.70610046386719,0,-3,-3,Non-COVID
55.01526350493455,111.56379699707031,0,-5,-5,Non-COVID
46.047227545288834,127.28890991210938,0,-9,-9,Non-COVID
42.78093617482124,173.46600341796875,1,-10,-10,Non-COVID
53.301277632400854,117.42294311523438,2,-23,-23,Non-COVID
54.19867699252468,120.22785949707031,0,-17,-17,Non-COVID
52.60803383399933,135.6258544921875,0,-28,-28,Non-COVID
59.74286612383498,104.53359985351562,0,-36,-36,Non-COVID
66.1738263339016,101.632080078125,0,-39,-39,Non-COVID
31.21755800771908,141.19900512695312,23,-56,-56,Non-COVID
38.90938539365417,72.29476928710938,0,-1,-1,Non-COVID
45.38425005252903,116.1473388671875,0,-10,-10,Non-COVID
47.35413665150864,134.88510131835938,0,-6,-6,Non-COVID
62.88035242701415,109.39518737792969,0,-28,-28,Non-COVID
43.10447191689528,106.61314392089844,1,-1,-1,Non-COVID
42.842485357717116,98.14697265625,0,-16,-16,Non-COVID
32.67106042786717,147.88922119140625,44,-56,-56,Non-COVID
51.9220371084437,96.72244262695312,0,-2,-2,Non-COVID
40.263676883779084,91.81350708007812,0,-64,-64,Non-COVID
38.585195279578,98.11393737792969,1,-1,-1,Non-COVID
34.475071772053134,82.08131408691406,0,-2,-2,Non-COVID
38.90150020813814,82.58195495605469,0,-1,-1,Non-COVID
65.77014709415879,109.9415283203125,0,-1,-1,Non-COVID
44.2666823613119,130.59153747558594,0,-51,-51,Non-COVID
65.03729240147881,157.30384826660156,0,-9,-9,Non-COVID
49.85174677207288,141.46876525878906,1,-13,-13,Non-COVID
45.385824866247766,115.88381958007812,0,-64,-64,Non-COVID
46.661015438615436,151.31568908691406,9,-2,-2,Non-COVID
55.40192323531751,108.86402893066406,0,-27,-27,Non-COVID
53.00468757049304,111.18412780761719,1,-2,-2,Non-COVID
40.33488848883848,83.74130249023438,0,-72,-72,Non-COVID
53.45596947497941,103.25729370117188,0,-1,-1,Non-COVID
49.19361023470327,106.00189208984375,0,-9,-9,Non-COVID
57.82387316208246,95.162109375,0,-58,-58,Non-COVID
44.942161686999974,121.98388671875,0,-5,-5,Non-COVID
60.23059318030795,163.80848693847656,0,-10,-10,Non-COVID
39.7572867187632,91.8509521484375,0,-5,-5,Non-COVID
58.92976378349693,109.32440185546875,0,-1,-1,Non-COVID
51.58236715513617,124.93487548828125,0,-43,-43,Non-COVID
52.67381998664142,126.99224853515625,0,-1,-1,Non-COVID
51.123641440824414,101.096923828125,0,-7,-7,Non-COVID
57.72589009452728,111.41374206542969,0,-15,-15,Non-COVID
53.62048924643716,103.2919921875,0,-1,-1,Non-COVID
40.46313734612479,92.23017883300781,1,-25,-25,Non-COVID
48.63440224163126,87.97889709472656,0,-1,-1,Non-COVID
53.275474651113825,138.0001983642578,0,-14,-14,Non-COVID
75.1217475902018,133.10081481933594,0,-12,-12,Non-COVID
48.22292946648625,137.79429626464844,16,-48,-48,Non-COVID
60.917821579573385,114.72541809082031,0,-1,-1,Non-COVID
50.15290121937887,132.65321350097656,0,-41,-41,Non-COVID
54.829033353721755,119.80293273925781,0,-1,-1,Non-COVID
50.72369596612995,135.5288543701172,9,-51,-51,Non-COVID
75.67690699382348,99.81509399414062,0,-1,-1,Non-COVID
40.6163998627493,73.38247680664062,0,-1,-1,Non-COVID
48.85141189849537,131.35614013671875,0,-1,-1,Non-COVID
45.912783424597805,107.22691345214844,0,-67,-67,Non-COVID
58.65035148543389,129.77952575683594,0,-3,-3,Non-COVID
44.91325082673183,127.49801635742188,0,-6,-6,Non-COVID
49.314837985887934,115.88484191894531,1,-26,-26,Non-COVID
54.28553994475223,127.75462341308594,0,-2,-2,Non-COVID
